Category,Link
kidnapping,https://nigeriacrime.com/unicross-lecturer-kidnapped-hours-after-warning-from-governor-otu/
kidnapping,https://nigeriacrime.com/vigilante-3-others-kidnapped-by-gunmen/
kidnapping,https://nigeriacrime.com/abuja-seven-year-old-girl-abducted-by-gunmen/
kidnapping,https://nigeriacrime.com/ex-rivers-cos-protocol-officer-abducted/
kidnapping,https://nigeriacrime.com/abducted-anambra-catholic-priest-freed/
kidnapping,https://nigeriacrime.com/nine-abducted-children-rescued-by-zamfara-police/
kidnapping,https://nigeriacrime.com/six-arrested-for-kidnappers-armed-robbery-in-delta-state/
kidnapping,https://nigeriacrime.com/police-foil-kidnap-attempt-kill-two-terrorists-rescue-victims-in-katsina/
kidnapping,https://nigeriacrime.com/apc-women-leaders-and-others-kidnapped-in-kaduna/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/gunmen-free-abducted-imo-catholic-priest/
kidnapping,https://nigeriacrime.com/kidnapping-in-lagos-nigeria-a-lucrative-business/
kidnapping,https://nigeriacrime.com/2-kidnapped-yauri-girls-regain-freedom-in-kebbi/
kidnapping,https://nigeriacrime.com/two-pastors-abducted-in-adamawa/
kidnapping,https://nigeriacrime.com/kidnapped-surgeon-nine-others-rescued-in-benue-state/
kidnapping,https://nigeriacrime.com/imo-catholic-priest-abducted/
kidnapping,https://nigeriacrime.com/adamawa-six-year-old-boy-strangled-to-death-suspect-arrested/
kidnapping,https://nigeriacrime.com/court-jails-five-for-kidnapping-female-journalist/
kidnapping,https://nigeriacrime.com/kidnap-syndicates-other-arrested-in-rivers-state/
kidnapping,https://nigeriacrime.com/five-kidnap-victims-rescued-as-katsina-police-kill-suspected-terrorist/
kidnapping,https://nigeriacrime.com/kidnappers-strike-again-in-niger-state-abduct-50/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/25-year-old-woman-who-faked-daughters-kidnap-arrested-in-kano/
kidnapping,https://nigeriacrime.com/terrorists-abduct-emirs-wife-9-children-in-kaduna/
kidnapping,https://nigeriacrime.com/40-kaduna-church-worshippers-abducted/
kidnapping,https://nigeriacrime.com/58-hostages-rescued-as-police-raid-kidnappers-den-in-abaji-lokoja-road/
kidnapping,https://nigeriacrime.com/22-kidnap-victims-rescued-by-fct-police-in-three-days/
kidnapping,https://nigeriacrime.com/2-soldiers-shot-as-bandits-invade-niger-village/
kidnapping,https://nigeriacrime.com/turkish-national-one-other-abducted-by-abuja-gunmen/
kidnapping,https://nigeriacrime.com/22-kidnapped-victims-rescued-by-fct-police/
kidnapping,https://nigeriacrime.com/notorious-kidnap-kingpin-arrested-in-benue/
kidnapping,https://nigeriacrime.com/anambra-mob-sets-suspected-kidnapper-ablaze-rescues-victim/
kidnapping,https://nigeriacrime.com/gunmen-kidnap-kaduna-lady/
kidnapping,https://nigeriacrime.com/gunmen-abducts-two-delta-catholic-priests/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
murder,https://nigeriacrime.com/middle-aged-man-in-police-net-over-elder-brothers-murder/
murder,https://nigeriacrime.com/lecturer-murdered-on-campus-by-unknown-attackers-in-unimaid/
murder,https://nigeriacrime.com/teenage-student-stabs-ondo-female-civil-servant-to-death/
murder,https://nigeriacrime.com/2-clergymen-killed-by-suspected-gunmen-in-akwa-ibom/
murder,https://nigeriacrime.com/army-commander-2-majors-captain-12-soldiers-killed-in-bomadi/
murder,https://nigeriacrime.com/3-arrested-over-dismembered-corpse-of-missing-chairman-of-tricycle-operator/
murder,https://nigeriacrime.com/man-hacks-32-year-old-wife-to-death-in-rivers/
murder,https://nigeriacrime.com/police-in-manhunt-for-killers-of-two-aibom-brothers/
murder,https://nigeriacrime.com/29-year-old-man-arrested-over-alleged-murder-of-lover/
murder,https://nigeriacrime.com/how-i-lured-killed-7-women-through-dating-app-32-year-old-ritualist-reveals/
murder,https://nigeriacrime.com/27-year-old-boy-strangulates-father-to-death-for-ritual/
murder,https://nigeriacrime.com/3-suspects-involved-in-female-nysc-member-murder-arrested-in-benue-police/
murder,https://nigeriacrime.com/man-shot-dead-biological-son-for-eating-only-cooked-food-in-the-house/
murder,https://nigeriacrime.com/police-arrest-2-atbu-students-one-other-over-murder-of-2-people/
murder,https://nigeriacrime.com/23-year-old-man-sentenced-to-death-by-hanging-for-killing-minor-in-ogun/
murder,https://nigeriacrime.com/bandits-kill-6-abduct-ex-cbn-staff-others-in-kaduna/
murder,https://nigeriacrime.com/teenage-student-stabs-ondo-female-civil-servant-to-death/
murder,https://nigeriacrime.com/2-clergymen-killed-by-suspected-gunmen-in-akwa-ibom/
murder,https://nigeriacrime.com/mob-lynch-suspected-cultist-over-murder-of-final-year-uniuyo-student/
murder,https://nigeriacrime.com/police-arrest-alleged-kidnap-kingpin-in-ekiti-kwara/
murder,https://nigeriacrime.com/kano-man-kills-self-over-ex-wifes-remarriage/
murder,https://nigeriacrime.com/35-year-old-man-rapes-50-year-old-colleague-to-death/
murder,https://nigeriacrime.com/28-year-old-deadly-gang-member-involved-in-nabeeha-murder-nabbed/
murder,https://nigeriacrime.com/hunter-kills-us-based-pdp-chieftain/
murder,https://nigeriacrime.com/20-year-old-fraudster-stabs-parents-over-failed-fortune-black-magic-soap/
murder,https://nigeriacrime.com/kano-five-vigilante-members-to-die-by-hanging/
murder,https://nigeriacrime.com/anambra-couple-killed-dumped-in-vehicle-boot/
murder,https://nigeriacrime.com/benue-lg-chair-in-police-net-for-plotting-to-assassinate-assembly-speaker/
murder,https://nigeriacrime.com/adamawa-lady-drugged-beheaded/
murder,https://nigeriacrime.com/tragedy-as-gunmen-behead-man-flee-with-body-parts-in-delta-community/
murder,https://nigeriacrime.com/2-clergymen-killed-by-suspected-gunmen-in-akwa-ibom/
murder,https://nigeriacrime.com/benue-two-soldiers-two-others-killer-by-hoodlums/
murder,https://nigeriacrime.com/tragedy-as-police-inspector-kills-corporal/
murder,https://nigeriacrime.com/nasarawa-seven-killed-over-land-dispute/
murder,https://nigeriacrime.com/2-persons-killed-as-armed-robbers-invaded-kwara-community/
murder,https://nigeriacrime.com/man-stabbed-to-death-in-ogun-for-accusing-co-tenant-of-sleeping-with-his-wife/
murder,https://nigeriacrime.com/ogun-policeman-killed-by-hit-and-run-driver/
murder,https://nigeriacrime.com/father-son-remanded-over-alleged-murder-of-imam-in-kano/
murder,https://nigeriacrime.com/alleged-murder-libya-authority-arrest-nigerian-national/
murder,https://nigeriacrime.com/popular-ogun-traditional-chief-killed-by-gunmen/
murder,https://nigeriacrime.com/45-year-old-woman-allegedly-tortured-to-death-by-dss-officials/
murder,https://nigeriacrime.com/two-in-police-net-for-beating-man-to-death/
